family,parameter_name,parameter_value,alpha,epsilon,gamma,seed,episode,steps
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,46,22
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,47,21
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,48,21
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,49,18
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,50,18
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,51,19
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,52,23
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,53,19
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,54,21
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,55,18
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,56,21
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,57,22
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,58,21
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,59,21
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,60,31
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,61,20
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,62,26
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,63,20
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,64,20
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,65,18
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,66,18
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,67,23
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,68,19
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,69,18
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,70,18
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,71,18
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,72,21
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,73,22
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,74,23
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,75,21
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,76,20
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,77,18
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,78,18
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,79,35
n_step_sarsa,n,5.000,0.300,0.100,0.990,13,80,22
n_step_sarsa,n,5.000,0.300,0.100,0.990,42,1,3778
n_step_sarsa,n,5.000,0.300,0.100,0.990,42,2,780
n_step_sarsa,n,5.000,0.300,0.100,0.990,42,3,48
n_step_sarsa,n,5.000,0.300,0.100,0.990,42,4,96
n_step_sarsa,n,5.000,0.300,0.100,0.990,42,5,196
n_step_sarsa,n,5.000,0.300,0.100,0.990,42,6,27
n_step_sarsa,n,5.000,0.300,0.100,0.990,42,7,32
