index,family,parameter_name,parameter_value,alpha,episode,mean,median,std_steps
296,n_step_sarsa,n,10.000,0.500,97,32.333,33.000,7.024
297,n_step_sarsa,n,10.000,0.500,98,154.667,33.000,220.328
298,n_step_sarsa,n,10.000,0.500,99,390.000,38.000,623.590
299,n_step_sarsa,n,10.000,0.500,100,92.000,41.000,99.805
300,sarsa_lambda,lambda,0.000,0.500,1,1189.000,1181.000,113.212
301,sarsa_lambda,lambda,0.000,0.500,2,582.000,488.000,181.304
302,sarsa_lambda,lambda,0.000,0.500,3,211.333,177.000,71.933
303,sarsa_lambda,lambda,0.000,0.500,4,166.333,157.000,51.637
304,sarsa_lambda,lambda,0.000,0.500,5,213.333,122.000,174.015
305,sarsa_lambda,lambda,0.000,0.500,6,106.333,102.000,63.611
306,sarsa_lambda,lambda,0.000,0.500,7,67.667,68.000,17.502
307,sarsa_lambda,lambda,0.000,0.500,8,121.000,126.000,51.682
308,sarsa_lambda,lambda,0.000,0.500,9,56.333,54.000,14.640
309,sarsa_lambda,lambda,0.000,0.500,10,213.667,141.000,205.855
310,sarsa_lambda,lambda,0.000,0.500,11,163.000,159.000,42.143
311,sarsa_lambda,lambda,0.000,0.500,12,140.000,72.000,117.779
312,sarsa_lambda,lambda,0.000,0.500,13,181.000,216.000,131.053
313,sarsa_lambda,lambda,0.000,0.500,14,129.333,151.000,85.582
314,sarsa_lambda,lambda,0.000,0.500,15,80.667,55.000,71.066
315,sarsa_lambda,lambda,0.000,0.500,16,195.333,196.000,44.004
316,sarsa_lambda,lambda,0.000,0.500,17,41.667,47.000,11.015
317,sarsa_lambda,lambda,0.000,0.500,18,164.333,221.000,120.451
318,sarsa_lambda,lambda,0.000,0.500,19,91.333,100.000,61.460
319,sarsa_lambda,lambda,0.000,0.500,20,53.333,55.000,7.638
320,sarsa_lambda,lambda,0.000,0.500,21,152.333,189.000,86.072
321,sarsa_lambda,lambda,0.000,0.500,22,47.667,48.000,6.506
322,sarsa_lambda,lambda,0.000,0.500,23,65.000,64.000,38.510
323,sarsa_lambda,lambda,0.000,0.500,24,57.333,53.000,36.692
324,sarsa_lambda,lambda,0.000,0.500,25,85.667,111.000,50.063
325,sarsa_lambda,lambda,0.000,0.500,26,80.667,75.000,11.590
326,sarsa_lambda,lambda,0.000,0.500,27,43.000,35.000,18.358
327,sarsa_lambda,lambda,0.000,0.500,28,43.667,39.000,22.368
328,sarsa_lambda,lambda,0.000,0.500,29,55.667,60.000,18.877
329,sarsa_lambda,lambda,0.000,0.500,30,63.667,29.000,60.044
330,sarsa_lambda,lambda,0.000,0.500,31,40.333,38.000,21.595
331,sarsa_lambda,lambda,0.000,0.500,32,36.667,28.000,17.673
332,sarsa_lambda,lambda,0.000,0.500,33,54.667,44.000,41.053
333,sarsa_lambda,lambda,0.000,0.500,34,50.000,46.000,28.213
334,sarsa_lambda,lambda,0.000,0.500,35,38.333,38.000,4.509
335,sarsa_lambda,lambda,0.000,0.500,36,75.667,64.000,31.182
336,sarsa_lambda,lambda,0.000,0.500,37,32.000,32.000,3.000
337,sarsa_lambda,lambda,0.000,0.500,38,27.000,25.000,3.464
338,sarsa_lambda,lambda,0.000,0.500,39,33.667,35.000,8.083
339,sarsa_lambda,lambda,0.000,0.500,40,59.333,45.000,42.360
340,sarsa_lambda,lambda,0.000,0.500,41,34.667,38.000,5.774
341,sarsa_lambda,lambda,0.000,0.500,42,46.000,45.000,22.517
342,sarsa_lambda,lambda,0.000,0.500,43,55.000,58.000,6.083
343,sarsa_lambda,lambda,0.000,0.500,44,47.333,49.000,9.609
344,sarsa_lambda,lambda,0.000,0.500,45,41.667,45.000,8.505
345,sarsa_lambda,lambda,0.000,0.500,46,42.333,38.000,13.051
346,sarsa_lambda,lambda,0.000,0.500,47,45.000,48.000,24.637
347,sarsa_lambda,lambda,0.000,0.500,48,52.000,46.000,14.000
348,sarsa_lambda,lambda,0.000,0.500,49,38.333,34.000,8.386
349,sarsa_lambda,lambda,0.000,0.500,50,37.000,36.000,13.528
350,sarsa_lambda,lambda,0.000,0.500,51,46.667,46.000,4.041
351,sarsa_lambda,lambda,0.000,0.500,52,30.667,29.000,5.686
352,sarsa_lambda,lambda,0.000,0.500,53,28.667,29.000,2.517
353,sarsa_lambda,lambda,0.000,0.500,54,33.333,31.000,7.767
354,sarsa_lambda,lambda,0.000,0.500,55,29.667,29.000,4.041
355,sarsa_lambda,lambda,0.000,0.500,56,41.333,46.000,17.474
356,sarsa_lambda,lambda,0.000,0.500,57,30.000,27.000,8.888
357,sarsa_lambda,lambda,0.000,0.500,58,34.000,32.000,5.292
358,sarsa_lambda,lambda,0.000,0.500,59,32.333,23.000,17.039
359,sarsa_lambda,lambda,0.000,0.500,60,39.333,43.000,18.771
360,sarsa_lambda,lambda,0.000,0.500,61,35.000,32.000,7.000
361,sarsa_lambda,lambda,0.000,0.500,62,36.667,38.000,9.074
362,sarsa_lambda,lambda,0.000,0.500,63,38.000,33.000,8.660
363,sarsa_lambda,lambda,0.000,0.500,64,42.000,43.000,1.732
364,sarsa_lambda,lambda,0.000,0.500,65,24.667,19.000,11.590
365,sarsa_lambda,lambda,0.000,0.500,66,31.667,30.000,11.590
366,sarsa_lambda,lambda,0.000,0.500,67,44.667,37.000,30.238
367,sarsa_lambda,lambda,0.000,0.500,68,28.000,25.000,10.817
368,sarsa_lambda,lambda,0.000,0.500,69,25.667,18.000,13.279
369,sarsa_lambda,lambda,0.000,0.500,70,48.000,50.000,14.107
370,sarsa_lambda,lambda,0.000,0.500,71,32.000,28.000,10.583
371,sarsa_lambda,lambda,0.000,0.500,72,31.333,23.000,15.308
372,sarsa_lambda,lambda,0.000,0.500,73,34.667,27.000,16.862
373,sarsa_lambda,lambda,0.000,0.500,74,40.667,42.000,14.048
374,sarsa_lambda,lambda,0.000,0.500,75,29.000,26.000,12.767
375,sarsa_lambda,lambda,0.000,0.500,76,33.333,31.000,5.859
376,sarsa_lambda,lambda,0.000,0.500,77,34.667,33.000,4.726
377,sarsa_lambda,lambda,0.000,0.500,78,33.667,30.000,8.145
378,sarsa_lambda,lambda,0.000,0.500,79,35.333,32.000,12.342
379,sarsa_lambda,lambda,0.000,0.500,80,43.333,38.000,11.930
380,sarsa_lambda,lambda,0.000,0.500,81,24.000,20.000,6.928
381,sarsa_lambda,lambda,0.000,0.500,82,27.333,28.000,9.018
382,sarsa_lambda,lambda,0.000,0.500,83,29.667,29.000,8.021
383,sarsa_lambda,lambda,0.000,0.500,84,27.000,28.000,6.557
384,sarsa_lambda,lambda,0.000,0.500,85,27.000,29.000,6.245
385,sarsa_lambda,lambda,0.000,0.500,86,23.667,22.000,3.786
386,sarsa_lambda,lambda,0.000,0.500,87,31.667,26.000,11.590
387,sarsa_lambda,lambda,0.000,0.500,88,32.667,34.000,9.074
