family,parameter_name,parameter_value,alpha,epsilon,gamma,seed,episode,steps
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,77,27
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,78,36
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,79,20
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,80,54
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,81,21
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,82,24
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,83,18
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,84,18
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,85,19
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,86,18
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,87,17
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,88,32
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,89,24
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,90,23
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,91,25
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,92,21
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,93,22
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,94,20
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,95,31
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,96,23
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,97,19
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,98,17
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,99,17
n_step_sarsa,n,5.000,0.500,0.100,0.990,13,100,23
n_step_sarsa,n,5.000,0.500,0.100,0.990,42,1,1622
n_step_sarsa,n,5.000,0.500,0.100,0.990,42,2,273
n_step_sarsa,n,5.000,0.500,0.100,0.990,42,3,503
n_step_sarsa,n,5.000,0.500,0.100,0.990,42,4,103
n_step_sarsa,n,5.000,0.500,0.100,0.990,42,5,21
n_step_sarsa,n,5.000,0.500,0.100,0.990,42,6,18
n_step_sarsa,n,5.000,0.500,0.100,0.990,42,7,19
n_step_sarsa,n,5.000,0.500,0.100,0.990,42,8,23
n_step_sarsa,n,5.000,0.500,0.100,0.990,42,9,25
n_step_sarsa,n,5.000,0.500,0.100,0.990,42,10,18
n_step_sarsa,n,5.000,0.500,0.100,0.990,42,11,74
n_step_sarsa,n,5.000,0.500,0.100,0.990,42,12,18
n_step_sarsa,n,5.000,0.500,0.100,0.990,42,13,20
n_step_sarsa,n,5.000,0.500,0.100,0.990,42,14,22
n_step_sarsa,n,5.000,0.500,0.100,0.990,42,15,36
n_step_sarsa,n,5.000,0.500,0.100,0.990,42,16,30
n_step_sarsa,n,5.000,0.500,0.100,0.990,42,17,23
